id;id_text;label;text
"Moreau2160_GBOOKSph7";"Moreau2160_GBOOKS";"";" lovyvs t ſur l ſaſpn, mon onele, le dac d’o-le,, n e ee i s a nieit oene n ionle, qus e na e e eneronun ules eoanuiurnune lunelouns ouns li oequie uulrine ounlnn le ue puenene oue euiuns le onatne ſeorneone pe on uiy apeu leſqerer de ſ ues lnire one enle ee ie n o ee eſenſoe panie de meſte rpue eenenilei onede rueſieneipue oeule iroeunuen eſeunren loaneteninu ouoe ouuein pe euere eoeue er dere le aunese ſoi ieooe eon dt eue oueoe ie neunr oe ſue le one luue ene une leoe ee dtas poiue eie dener e eneionalnrl ulieſerer e nun ne oe e e pe neuqpo eilonpne e odndleoaea ſinure oe ilenoe eue e eieor anueieunlee e er uembre, a6sr"
"Moreau2160_GBOOKSph8";"Moreau2160_GBOOKS";"";" voſte bienaonno fetctionnenepau, et plus bas, 4p lou"
"Moreau2160_GBOOKSph9";"Moreau2160_GBOOKS";"";" lovy5 - mon oncle, de dac d’ole, du "
"Moreau2132_GALLph0";"Moreau2132_GALL";"Lettre du R. P. N. Caussin, de la compagnie de Jésus, à une personne illustre sur sa curiosité des horoscopes.";"null"
"Moreau2132_GALLph1";"Moreau2132_GALL";"";" p h l a n cavssin a t de lacompagnie de iesvs a vne personne illvstre sur la curioſite des horoſcopes"
"Moreau2132_GALLph2";"Moreau2132_GALL";"";" a paris, ſdenysbechet"
"Moreau2132_GALLph3";"Moreau2132_GALL";"";" zrue ſainet chez lacques"
"Moreau2132_GALLph4";"Moreau2132_GALL";"";" iean dv bray, aur eſpies meurs &amp, au chapeler"
"Moreau2132_GALLph5";"Moreau2132_GALL";"";" vec privilege dv ro "
"Moreau2132_GALLph6";"Moreau2132_GALL";"";" :p, s oag, 5   1 1 2 "
"Moreau2132_GALLph7";"Moreau2132_GALL";"";" 4y m1 iel’nt om il "
"Moreau2132_GALLph8";"Moreau2132_GALL";"";"  nolotl us auam o, "
"Moreau2132_GALLph9";"Moreau2132_GALL";"";"  , ’ ’’ 1i 8, o,  s "
"Moreau2132_GALLph10";"Moreau2132_GALL";"";" ll ee- s eſuſer si adlalſnen"
"Moreau2132_GALLph11";"Moreau2132_GALL";"";" s &amp,se l4 ee &amp,de u ſ im ſd a r nycy t dvrpn"
"Moreau2132_GALLph12";"Moreau2132_GALL";"";" cavssin v i de la compagnie de iesvs, a vne personne illvstre, ſur la curioſite des horoſcopes"
"Moreau2132_GALLph13";"Moreau2132_GALL";"";" c sſte on eu anl la a i’entens auec ſatis faction que voſtre conuerſation eſt toute celeſte, &amp, que vous faites ſouuent la cour aux aſtres, parmy les plus innocens plaiſirs de voſtre ſolitude"
"Moreau2132_GALLph14";"Moreau2132_GALL";"";" cet exercice ne peut eſtre que louable, par ce que c’eſt vne marque de l’immortalite de noſtre ame, qui ſe laiſſe in ſenſiblement couler a la ſource des lumieres, &amp, trouue ſes intereſts dans le ciel comme dans ſa propre maiſon: mais vostre altesse ombe d’accord auec moy que la iu diciaire, telle qu’on nous la depeint auiourd’huy, eſt plus hardie en promeſſes que ſolide en raiſons"
"Moreau2132_GALLph15";"Moreau2132_GALL";"";" ie ne taxe point icy pluſieurs gens de condition, de ſcauoir &amp, de merite, qui vſent de l’aſtrologie auec l’innocence &amp, la diſcretion que i’egliſe preſcrit, que s"
"Moreau2132_GALLph16";"Moreau2132_GALL";"";" thomas approuue en l’opuſcule du 2 iugement des aſtres, &amp, que les loi petmettents maisle par e de ces promethees qui ſe vantent d’auoir rauy le feu de ſon throne, de ces monarques des temps, qui veulent faire rou nos auantures &amp, nos iours infailliblement ſoubs leurs loix"
"Moreau2132_GALLph17";"Moreau2132_GALL";"";" dieu n’a pas donne le ciel en proye a la curioſite des hom mes, mais il arendu vn voile de tenebres deuant ces grands palais de clarte, pour n’y admettre pas indifferemment les yeux profanes, c’eſt choſe eſtrange qu’il y en aqui ſe pro inettent de nous dechiffrer les deſtins des hommes leurs qualitez, leurs ſucces, leurs honneurs, leurs richeſſes, leurs maladies, leurs diſgraces, &amp, leur mort, comme s’ils eſcri uoient vne hiſtoire &amp, non pas vn horoſcope: ils ne ſe con tententpas de dire les accidens, mais ils ſe perſuadent d’en marquer les temps par heures &amp, par minttes, comme ſi cette eternelle prouidence leur auoit mis ſes ſceaux entre les mains"
"Moreau2132_GALLph18";"Moreau2132_GALL";"";" comment pouroient-ils donner ce qu’ils promettent, ou dire ſeulement ce qu’ils profeſſent"
"Moreau2132_GALLph19";"Moreau2132_GALL";"";" le ciel eſt vne cau ſe vniuerſelle qui eſt determinee par les cauſes ſecondes, &amp, qui ne faict non plus les choſes particulieres, que le ſoufle des orgues la diſtinction des cantiques"
"Moreau2132_GALLph20";"Moreau2132_GALL";"";" le soleil fait auec l’homme vn homme, &amp, auec le lyon vn lyon,tous les aſtres operent, ou ceſſent d’operer, ſelon la diſpoſition qu’ils ren contrent d ns la nature inferieure"
"Moreau2132_GALLph21";"Moreau2132_GALL";"";" les peres &amp, meres, les nourrices, l’e ducation, la patrie, la couſtume, la loy, la con uerſation, le franc-arbitre, &amp, la prouidence qui eſt ſur tout, peuuent empeſcher a toutes heures les effets des conſtella tions"
"Moreau2132_GALLph22";"Moreau2132_GALL";"";" ils commettent nos vies a peu de planettes &amp, pe u d’e ſtoilles fixes, comme ſi tant de flammes celeſtes deuoient eſtre perpetuellement oyſiues ſur nos teſtes"
"Moreau2132_GALLph23";"Moreau2132_GALL";"";" les mouuemens de ces planettes ſont encores incertains, &amp, les plus ſcauans diſputent eternellement ſur leur calcul"
"Moreau2132_GALLph24";"Moreau2132_GALL";"";" les eſtoilles noner rantes ne ſe retrouuent plus aupoint auquel l’antiquite les a autre sfois obſeruees"
"Moreau2132_GALLph25";"Moreau2132_GALL";"";" la vie de l’homme ne ſuffit pas a ces ob ſeruations, nousſommes trop bas, &amp, le ciel eſt trop haut pour n’y trouuer point de mecompte: c’eſticy que l’art eſt long, &amp, "
"Moreau2132_GALLph26";"Moreau2132_GALL";"";" la vie courte, les iugemens douteux, &amp, les experiences in certaines"
"Moreau2132_GALLph27";"Moreau2132_GALL";"";" c’eſt vouloir eſcrire ſur vne riuiere courante, que d’ar reſter des iugemens ſur vn corps ſirapide que le ciel: l’heure que nous penſons appartenir a noſtre naiſſance, eſt des-ja paſ ſee dans le deſtin d’vn autre qui nous a prece de, ou paſſera en celuy qui nous ſuit: ls ſuiuent vnpoint qi les fuit continuel lement en cherchant le moment de la natiuite, &amp, faute de l’attraper, ils fondent toutes leurs predictions ſur des ruines"
"Moreau2132_GALLph28";"Moreau2132_GALL";"";" il ne leur faut pas toutefois nier cette louange, qu’ayant mis ce point ou ils veulent par vne rectification maginaire, ils ſont admirables a dire les accidens arriues, lors que l’on leur en a deduit toute la ſuite"
"Moreau2132_GALLph29";"Moreau2132_GALL";"";" ils ont encore cette propriece qu’a chaque natiuite ils deuinent tout ce qu’ils veulent, ſans ſcauoir le iour ny l’heure, comme en celle de luther, ou tous pre dirent ſon apoſtaſie, quoy que pas vn n’euſt le vray temps de ſa nailſſance"
"Moreau2132_GALLph30";"Moreau2132_GALL";"";" mais comment ſeroient-ils d’accord en tant d’articles ſi importans, veu qu’ils diſpurent encore du champ de bataille ou ils font combattre les aſtres, &amp, ne s’accordent point ſur le partage des maſons d’vn horoſcope"
"Moreau2132_GALLph31";"Moreau2132_GALL";"";" ils font d’agreables romans ſur les eſtoilles, auec leur for ces &amp, leur debilitez qui n’ont rien de plus foible que leur imagination"
"Moreau2132_GALLph32";"Moreau2132_GALL";"";" ces maiſons de peres &amp, de meres, de mary &amp, de femmes, de freres &amp, d’enfans, n’ont eſte trouuees que pour trouuer du gain dans vne ſcience perdue"
"Moreau2132_GALLph33";"Moreau2132_GALL";"";" ces ioyes, ces chariots, ces exils, ces antiſces, cesbrulemens de planettes, ces termes, ces almugees, ces azemenes, ces donneurs de temps &amp, d’annees, qui iamais ne donnerent vne minute, &amp, tout ce qu’ils diſent de l’hyleg, de l’alcochodon, de l’algebuthar, ſont des termesſpe cieux, ſemblables a ceux des valentiniens, ou aux inuentions des egyptiens, qui fai ſoient des temples dorez pour y loger des rats"
"Moreau2132_GALLph34";"Moreau2132_GALL";"";" leurs directions ne ſubſiſtent que dans l’agencement de l’i magination, ſans aucune raiſon naturelle, &amp, trompent a tour moment"
"Moreau2132_GALLph35";"Moreau2132_GALL";"";" toutes les autres ſciences ont quelque chefqu’on peut rai ſonnablement ſuiure, mais icy vous voyede grands laby a ij "
"Moreau2132_GALLph36";"Moreau2132_GALL";"";" rinthes, ou il n’y a perſonne qui vous prenne par la main que pour vous embaraſſer"
"Moreau2132_GALLph37";"Moreau2132_GALL";"";" manile ſcait mieux les meſures des vers que eelles du ciel"
"Moreau2132_GALLph38";"Moreau2132_GALL";"";" ptolomee eſt obſcur &amp, peu aſſeure en la pratique"
"Moreau2132_GALLph39";"Moreau2132_GALL";"";" iules fir mique a plus de latin que de raiſon, s’eſtant fait aſtrologue par le deſeſpoir de la iuriſprudence, la plus-part des arabes ſont e xtrauagans en leur penſees, &amp, hydeux en leur ſtyle"
"Moreau2132_GALLph40";"Moreau2132_GALL";"";" cardan eſt plus hardy que veritable, &amp, nous meine par des chemins inacceſſibles, ou il s’eſt extrement fouruoye tout le premier, apres auoir employe cent heures ſur l’horoſcope d’eduard roy d’angleterre, ſi malheureuſement, qu’il cher che vn roy bien auant dans la vie, qui n’en fiſt toutesfois que ſaluer les portes"
"Moreau2132_GALLph41";"Moreau2132_GALL";"";" pontan parle des aſtres en ciceron auec vn beau langage &amp, peu de fondement"
"Moreau2132_GALLph42";"Moreau2132_GALL";"";" leouice &amp, pezel ſuiuent le grand chemin des autres, iunctin dit tout &amp, ne dit rien"
"Moreau2132_GALLph43";"Moreau2132_GALL";"";" ce ſeroit choſe ſuperflue de combattre cet art par l’eſc ri ture, par les peres, par les conciles, par les bulles des papes, &amp, par les loix qui l’ont tant de fois condane comme preiudi ciable a la religion, a l’eſtat, a la vie ciuile, s’il n’eſt extreme ment bien meſnage"
"Moreau2132_GALLph44";"Moreau2132_GALL";"";" ie me contente de vous dire que puiſque ils nous attaquent par les experiences, ie lesferay experimen ter a l’ouuerture du premier horoſcope, qu’ils ne ſcauront aſſeurement"
"Moreau2132_GALLph45";"Moreau2132_GALL";"";" ſila perſonne eſt maſle ou femelle, morte ou vi ue, riche ou pauure, ſcauante ou ignorante, bonne ou mau uaiſe, heureuſe ou malheureuſe, &amp, s’ils ſe meſlent de luy marquer ſes temps, il ne le pouront faire qu’auec la perte de leur reputation"
"Moreau2132_GALLph46";"Moreau2132_GALL";"";" a tout cecy on reſpond, que l’experience l’emporte par deſſus la raiſon, &amp, qu’il ſuffit de dire qu’il y a de grands aſtro logues qui ont fait tout fraiſchement des pre dictions mer ueilleuſes ſur les euenemens de cette annee"
"Moreau2132_GALLph47";"Moreau2132_GALL";"";" il eſt aiſe de re partir ſur ce point, que s’il arriue vne vraye prediction par ha zard entre mille fauſſetez, on releue cette ſeule verite appa rente, ſans faire mention de la grande quantite de menſon ges qui l’ont precedee, &amp, qui la ſuiuent"
"Moreau2132_GALLph48";"Moreau2132_GALL";"";" outre que ces de uins ont des ſoupleſſes &amp, des artifices de pre dire les choſes arriuees, comme ſi elles eſtoient encore a venir, ſoit qu’ils a antidattent leur lettres, ſoit qu’ils faſſent gliſſer des cartons aux liures de-ja imprimes, ſoit qu’ils euentent ſemblables nouuelles par leur confidens, qui ſont quelquesfois gens de condition"
"Moreau2132_GALLph49";"Moreau2132_GALL";"";" la iudiciaire entra en vne grande vogue ſoubs pal iii"
"Moreau2132_GALLph50";"Moreau2132_GALL";"";" par vne fauſſe lettre qu’on feignit auoir eſte trouuee dans le cabinet de pierre louys duc de parme: cette lettre portoit le nom de paris cereſarius grand mathematicien de ce ſie cle qui eſcriuoit a ce grand homme, l’annee, le mois, le iour l’heure, &amp, laminute meſme du temps auquel il deuoit eſtre declare pape au conclaue, ce que les demons auec toute leur ſcience ne pourroient pas deuiner: il adiouſtoit que cela luy arriueroit par la direction du trin aſpect de mercure au soleil, qui eſt vne cauſe ſi foible, que cent trins ſemblables a celuy-la, ne donneroit pas a tant d’autres vne petite chiapel le, &amp, comment auroit-il donne le ſouuerain pontificat, en ce rencontre"
"Moreau2132_GALLph51";"Moreau2132_GALL";"";" toutes ces predictions ſi iuſtes qu’on attribue a l’aſtrologie ſont pour l’ordinaire choſes ſuppoſees quonin ſinue par artifice"
"Moreau2132_GALLph52";"Moreau2132_GALL";"";" on a couru depuis peu apres vn almanacle quiprediſoit au commencement dumois de ianuier vn grand debordement d’eau, &amp, vne emotionpopulaire cauſee par le depart des grands"
"Moreau2132_GALLph53";"Moreau2132_GALL";"";" celane s’eſt point trouue dans l’orignal imprime a troyes, mais en la copie de paris, ou vn imprimeur adroit a fait gliſſer vn carton qui portoit cette addition"
"Moreau2132_GALLph54";"Moreau2132_GALL";"";" par la meſme raiſon, on a fait paſſer euſtache nol pour vn grand prophete, adjouſtant a ſes pre dictions communes &amp, ambi gues, des choſes claires &amp, notoires, qui eſtoient des-ja faictes comme ſi elles euſſent eſte pour lors a faire"
"Moreau2132_GALLph55";"Moreau2132_GALL";"";" par la meſme illuſion vn celcbre autheur italien nomme spina, a eſcrit vn liure de la cataſtrophe dumonde, imprime des l’annee i6z5"
"Moreau2132_GALLph56";"Moreau2132_GALL";"";" ou il touche les reuolutions des empires qu’il attribue aux deux comettes des annees i572"
"Moreau2132_GALLph57";"Moreau2132_GALL";"";" ſans parler de celle qui fut veue l’annee 16r8"
"Moreau2132_GALLph58";"Moreau2132_GALL";"";" ceux qui ont voulu donner du cours a ſon liure &amp, de l’authorite a ſa ſcience n’ont pas manque de marquer vn grand trouble qui deuoit ar riuer dans l’empire du turc, l’annee 1648"
"Moreau2132_GALLph59";"Moreau2132_GALL";"";" ce qui paroiſt arti ficieuſement adjouſte, veu que ce temps aſſigne eſt contraire a iij  au diſcours, &amp, a la deduction de l’autheur"
"Moreau2132_GALLph60";"Moreau2132_GALL";"";" sa raiſon eſt que la ſee de mahomet eſt gouuernee a ce qu’il dit par mars &amp, par la lune, &amp, ſi l’on prend les annees de duree grandes, tres grandes, moyennes &amp, petites que les aſtrologues leurs atti duent &amp, qui ſont pour mars6a4 66"
"Moreau2132_GALLph61";"Moreau2132_GALL";"";" &amp, pour la lune ao io&amp,"
"Moreau2132_GALLph62";"Moreau2132_GALL";"";" &amp, ſi on adjouſte ces meſmes annees a cele de lanaiſſance de mahomet, qui tombe en l’an 5or"
"Moreau2132_GALLph63";"Moreau2132_GALL";"";" on trouuera dans cette ſomme par la reigle d’addition, le temps auquel ce grand ebranlement de la monarchie des othomans doit eclorre"
"Moreau2132_GALLph64";"Moreau2132_GALL";"";" or il eſt clair que cette ſomme ne donne point 1648"
"Moreau2132_GALLph65";"Moreau2132_GALL";"";" ce qui fait paroiſtre viſiblement la tromperie, &amp, fendle calecul de l’autheur ridicule qui aſſigne la mort de cet empire dans l’annee 166,"
"Moreau2132_GALLph66";"Moreau2132_GALL";"";" &amp, la maladie 1695"
"Moreau2132_GALLph67";"Moreau2132_GALL";"";" g auoit quelque apparence raiſonnable de verite en cet te ſcience, comment ſes plus celebres autheurs commet troient ils des fautes epouuantables"
"Moreau2132_GALLph68";"Moreau2132_GALL";"";" cardan l’vn des grands princes de la ſecte, a eu la curioſite de faire l’horoſcope de l’empereur neron qui eſt le quarantieſme dans ſes cent na tiuites, ou il ne manque point d’ajuſter aux aſtres cette vie debordee, &amp, cette fortune ſi pompeuſe, mais apres tout ſon trauail, on luy monſtre qu’il fait naiſtre neron le 14"
"Moreau2132_GALLph69";"Moreau2132_GALL";"";" de iuin qui eſt ne aſſurement le , de decembre, ſelon le rapport de ue ouien le suerone autheur tres eat, oure que la plus aſſuree clre nologie le fait venir au monde l’annee 37 de noſtre seigneur, eſ1"
"Moreau2132_GALLph70";"Moreau2132_GALL";"";" comme eſcrit cardan, de ſorte qu’il n’a ny l’an, ny cas ianuarias, lei le mois, ny le iour de la naiſſance de ce prince, &amp, toutefois il exoriente triomphe de ioye, admirant les verites aſtrologiques ſur ce s le, pene vt , p point, &amp, dit que la neige n’eſt pas plus ſemblable a la neige quan rerra que l’aſtre a la vie de neron"
"Moreau2132_GALLph71";"Moreau2132_GALL";"";" le meſme cardan predit l’anee nyge de ſamort dans ſon horoſcope par la direction du quarre de u1"
"Moreau2132_GALLph72";"Moreau2132_GALL";"";" venus &amp, de mercure a l’aſcendant, ce qui deuoit pluſtoſt naiſtre des funeſtes directions du corps de saturne &amp, de mars qui ne luy firent rien de violent: defait qu’il ſe trouua encore en vie autemps pedit de ſa mort, &amp, auanca ſes iours comme on dit pour ajuſer ſon horoſcope, donnant ſa vie pour la ſatisfaction de ſa vanite"
"Moreau2132_GALLph73";"Moreau2132_GALL";"";" que diray-je d’argolus qui entre dans des extazes ſur la veite de l’aſtrologie dans l’ho  , 9 roſcope de guſtaue roy de suede, qu’il fait mourir le 16"
"Moreau2132_GALLph74";"Moreau2132_GALL";"";" ’oobre, quoy qu’il ſoit mort le "
"Moreau2132_GALLph75";"Moreau2132_GALL";"";" de nouembre, tant il isel’a saue dois p"
"Moreau2132_GALLph76";"Moreau2132_GALL";"";" eſt vray que deuinant l’auenir, ils oublient le paſſe, &amp, taſchant de faire vne teſte dor a leur ſcience, ils ne voyent pas que les pieds en ſont d’argille"
"Moreau2132_GALLph77";"Moreau2132_GALL";"";" on a publie depuis peu, qu’vn excellent mathematicien auoit predit tout le trouble de paris, &amp, le ſouſleuement, des prouinces, par vne lettre dattee du 17"
"Moreau2132_GALLph78";"Moreau2132_GALL";"";" d’aouſt, &amp, ſi bien cir conſtantiee qu’elle ſembloit pluſtoſt vne hiſtoire qu’vne di uination"
"Moreau2132_GALLph79";"Moreau2132_GALL";"";" ie maintiens que l’aſtrologie ne peut monter iuſ que-la, a raiſon que cela ſe prediroit ou par les eclipſes, ou par les grandes conionctions des trois principaux pla nettes qui ſont saturne, iupiter &amp, mars, ou par les co mettes, ou par les eſtoilles fixes les plus ſiniſtres, qui ſe roient verticales aux lieux auſquels arriuent les calamites"
"Moreau2132_GALLph80";"Moreau2132_GALL";"";" nous n’auonsrien remarque en ces quatre p rincipes qui nous oblige de croire que les grands maux qui nous ſont arriues cettc annee, ſoient venus de la"
"Moreau2132_GALLph81";"Moreau2132_GALL";"";" il y a point eu de hydeuſe eclipſe de soleil, les grands planettes n’ot point fait de ion ction, il n’y a point paru de comette depuis,jo"
"Moreau2132_GALLph82";"Moreau2132_GALL";"";" ans, quoy qu’ls ayent eſte ſimiſerables, &amp, ſi on veut tout rapporter a celle de i’annee ca2"
"Moreau2132_GALLph83";"Moreau2132_GALL";"";" comme fait spina auliure de la cataſtrophe du monde, oua celle qui parut l’annee ro8 c’eſt vne eſchappa toire ſans fondement, qu’on ne peut deſfendre par de bonnes preuues, &amp, qu’on peut touſiours nier auee raiſon"
"Moreau2132_GALLph84";"Moreau2132_GALL";"";" onne peut auoir recours aux fixes verticales, puiſque nous n’en auons aucune ſur nos teſtes de cette funeſte qualite"
"Moreau2132_GALLph85";"Moreau2132_GALL";"";" iireſte vne douce reverie, de dire que les eſtoilles ſont au ciel comme des lettres, &amp, qu’en s’aſlſemblant elles compo ſent certains mots, qui diſent le bon-heur, &amp, le mal-eur des hommes, connu ſeulement par les plus rares aſtrologues, qui ſont eclaires de la caballe des chaldeens"
"Moreau2132_GALLph86";"Moreau2132_GALL";"";" dans cette veue gafaiel en ſes curioſites inoue:,, ſuiuant quelques ra bins, dit qu’vnpeu deuant la captiuit e des iuifs en dabylone parurent vne eſtoilles verticales a la ville de hieruſale, leſqueles compoſoient le mot heloreu, n, qui ſignifie abatre &amp, deſtruire, enpreſage de la deſtruction totallearri  ,,,, --aa a,, "
"Moreau2132_GALLph87";"Moreau2132_GALL";"";" a uee a cette ville infortunee, &amp, il adiouſte que leur nombre eſtoit5o5"
"Moreau2132_GALLph88";"Moreau2132_GALL";"";" qui eſt la duree de l’empire des iuifs, depuis saul iuſques a se decias"
"Moreau2132_GALLph89";"Moreau2132_GALL";"";" tout cela tient de la plus haute folie que l’eſprit humain puiſſe produire en ce ſujet, ou le me nſonge n’a pas meſime aucune ſuitte ny couleur, car comment vnze eſtoilles, feroient elles vn mot de trois lettres, &amp, qui dira que le temps eſt bien calcule, puiſque nous ſcauons de certaine ſciencc de l’hiſtoire, que le nombre des annees du royaume des iuifs de saul a sede cias, nes’eſtendpas plus loin que 481"
"Moreau2132_GALLph90";"Moreau2132_GALL";"";" apres tout il faut conclure que s’il y a quelques vrayes predictions, elles vicnnent de dieu &amp, des bons anges qui ont tant de fois reuele aux prophetes les plus grands ſecrets des empires, &amp, qui ſe communiquent le plus ſouuent aux ames pures &amp, eleuees, quoy que les meſchans ayent prophe s auguſtinus tiſe quelquefois, ainſi qu’il eſt raporte de caife, les dons gra de dunaio tuitement donnes, n’eſtans pas touſiours exclus par l’impu ne dmonum rete de la vie"
"Moreau2132_GALLph91";"Moreau2132_GALL";"";" que ſicela ne vient de dieu &amp, des bons an cap"
"Moreau2132_GALLph92";"Moreau2132_GALL";"";" eendum eſt ges, il peut venir des mauuais qui ſcauent de la part de dieu illos ea ple l meſme &amp, des anges les commiſſions qu’ils doiuent execu nunciare quz ter, ſur les villes, ſur les prouinces, ſur les empires, &amp, ſur ipſi facturi eee"
"Moreau2132_GALLph93";"Moreau2132_GALL";"";" les particuliers meſmes, portant les fleaux de la iuſtice di eninmn poeſta uine, &amp, par ce moyenils prediſent ce qu’ils doiuent faire, &amp, en ple, l’annoncent volontiers a ceux qui leur ſeruent d’organe, ieun aetenm ainſiques"
"Moreau2132_GALLph94";"Moreau2132_GALL";"";" auguſtin l’a laiſſe par ecrit au liure de la diuina 1ubdumrede tion des demons, ou il aſſeure que les pronoſtiques des eſ dere, &amp, pei , , prits de menſonge qui viennent par ces voyes, ne laiſſent ta ſuaderede pas d’eſtre fort veritables, comme eſtans concertes au con uonpe ſeil de dieu"
"Moreau2132_GALLph95";"Moreau2132_GALL";"";" ceux qui ſcauent quantite de choſes ſecrettes par leur ſunt"
"Moreau2132_GALLph96";"Moreau2132_GALL";"";" p moyen, ſe couurent bien ſouuent du voyle de l’aſtrologie, dei iſpoſi- ce qui la rendue fort odieuſe aux gens de bien, mais il eſt tres one prtune certain que ſon art ne va pas iuſqu’a faire des pre dictions ſi ca, ui"
"Moreau2132_GALLph97";"Moreau2132_GALL";"";"t eeueet, particulieres ſiiuſtes, &amp, ſi circonſtantiees, &amp, ceux qui ſe ha las: ardent de les publier, combent ſouuent en erreur &amp, en con dicunt qu au dun, fuſion non fallunt ie ne veus pas tourefois nier que l’aſtrologie bien enten neque fallun due, &amp, piudemment menagee, ſe lon que les loix diuines &amp, 4 93 humaines permettent, ne ſoit vne ſcience tres-excellente, quandil ny auroit autre choſe que de re connoiſtre les ſecret tes &amp, admirables liaiſons que nous auons auec le ciel, dans les inclinations des hommes, &amp, dans les choſes qui re gardent l’eſtat du corps, ce ne ſeroit pas peu de choſe"
"Moreau2132_GALLph98";"Moreau2132_GALL";"";" quand elle ne feroit autre profeſſion que de predire les dſpoſitions de l’air &amp, du temps, c’eſt vne ſcience d’an ge, dont les roys &amp, les philoſophes ont fait gloire, mais el je e ſt tous les iours extremement des-honnoree par vn tas de brouillons qui font eſtat d’eſcrire des almanacs, ſns ſca uoir le cours d’vn ſeul aſtre, de ſorte qu’ils nous renuerſent tout le ciel en leur idee, ils ne peuuent produire autre choſe que ce qu’ils ont conceu ſans eſtude, &amp, ſans iugement, pour entretenir ainſi la credulite du petit peuple"
"Moreau2132_GALLph99";"Moreau2132_GALL";"";" d’autres ſca uent quelque choſe aux eſtoilles, mais ils s’atachent trop a ces maiſons, ces seigneuries, &amp, ces dominations des planet tes qui ſont imaginaires &amp, qui les trompent inceſſamment"
